channel,source,detector,cond,beta,tstat,p,q
5,2,3,-Control:Group_G1_3+MA:Group_G1_3,24.9756704594769,3.16340362718329,0.00168154774039253,0.0119576728205691
8,2,6,-Control:Group_G1_3+MA:Group_G1_3,29.3064155600908,3.68502130138974,0.0002610170909475,0.00264303413542954
12,3,8,-Control:Group_G1_3+MA:Group_G1_3,30.669499651325,3.11696135499629,0.00196265528921809,0.0125609938509958
14,4,8,-Control:Group_G1_3+MA:Group_G1_3,27.8375407341779,2.91987411890739,0.00370498557550362,0.0215562797120211
23,10,12,-Control:Group_G1_3+MA:Group_G1_3,41.2522191093387,3.42208722215392,0.000687198146455889,0.00549758517164711
24,10,13,-Control:Group_G1_3+MA:Group_G1_3,19.1366079236953,2.58707462268233,0.0100405779938318,0.0458997851146598
25,10,14,-Control:Group_G1_3+MA:Group_G1_3,34.1062001058495,4.40486553762201,1.36927817101445e-05,0.000438169014724623
26,11,13,-Control:Group_G1_3+MA:Group_G1_3,30.0948212349189,3.82582392072353,0.000151731855456307,0.00264303413542954
27,11,14,-Control:Group_G1_3+MA:Group_G1_3,38.0841690847834,3.65801726279341,0.000289081858562605,0.00264303413542954
28,11,15,-Control:Group_G1_3+MA:Group_G1_3,30.6732777588941,3.69560894790488,0.000250730097404709,0.00264303413542954
